Team,xG,xGA,xPTS,Wins,Draws,Losses,Played
Aston Villa,26.53,59.01,29.8,3,8,27,38
Everton,53.98,54.75,52.7,11,14,13,38
Bournemouth,38.71,53.97,43.7,11,9,18,38
Southampton,56.2,44.29,61.1,18,9,11,38
Leicester,68.42,45.02,68.9,23,12,3,38
West Bromwich Albion,39.75,51.94,42.3,10,13,15,38
Sunderland,40.52,58.85,40.5,9,12,17,38
Crystal Palace,42.51,52.94,44.9,11,9,18,38
Norwich,39.19,58.93,39.2,9,7,22,38
Chelsea,54.48,44.63,59.6,12,14,12,38
West Ham,54.4,55.48,49.8,16,14,8,38
Tottenham,63.42,37.08,69.4,19,13,6,38
Arsenal,73.53,33.86,77.0,20,11,7,38
Swansea,39.96,53.63,42.4,12,11,15,38
Stoke,42.63,54.35,48.3,14,9,15,38
Newcastle United,37.61,55.42,40.2,9,10,19,38
Liverpool,54.37,37.88,63.3,16,12,10,38
Manchester City,66.2,37.47,70.1,19,9,10,38
Manchester United,45.42,39.66,56.4,19,9,10,38
Watford,43.2,51.85,48.3,12,9,17,38
