id,isResult,h,a,goals,xG,datetime,forecast
81,True,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '1', 'a': '0'}","{'h': '0.627539', 'a': '0.6746'}",2015-08-08 15:45:00,"{'w': '0.2859', 'd': '0.3905', 'l': '0.3236'}"
82,True,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '0', 'a': '1'}","{'h': '0.876106', 'a': '0.782253'}",2015-08-08 18:00:00,"{'w': '0.3435', 'd': '0.3607', 'l': '0.2958'}"
83,True,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '2', 'a': '2'}","{'h': '0.604226', 'a': '0.557892'}",2015-08-08 18:00:00,"{'w': '0.2988', 'd': '0.4337', 'l': '0.2675'}"
84,True,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'h': '4', 'a': '2'}","{'h': '2.56803', 'a': '1.45946'}",2015-08-08 18:00:00,"{'w': '0.6422', 'd': '0.2057', 'l': '0.1521'}"
85,True,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '3'}","{'h': '1.13076', 'a': '2.10975'}",2015-08-08 18:00:00,"{'w': '0.1461', 'd': '0.2159', 'l': '0.638'}"
86,True,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'h': '2', 'a': '2'}","{'h': '0.64396', 'a': '2.59203'}",2015-08-08 20:30:00,"{'w': '0.0304', 'd': '0.0924', 'l': '0.8772'}"
87,True,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '2', 'a': '2'}","{'h': '1.54613', 'a': '1.2529'}",2015-08-09 16:30:00,"{'w': '0.4386', 'd': '0.3165', 'l': '0.2449'}"
88,True,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '0', 'a': '2'}","{'h': '1.33166', 'a': '0.535961'}",2015-08-09 16:30:00,"{'w': '0.5751', 'd': '0.2826', 'l': '0.1423'}"
89,True,"{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '0', 'a': '1'}","{'h': '0.381274', 'a': '0.329873'}",2015-08-09 19:00:00,"{'w': '0.2482', 'd': '0.5454', 'l': '0.2064'}"
90,True,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '3'}","{'h': '0.435238', 'a': '1.9242'}",2015-08-10 23:00:00,"{'w': '0.0615', 'd': '0.1698', 'l': '0.7687'}"
