id,isResult,side,h,a,goals,xG,datetime,forecast,result
84,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'h': '4', 'a': '2'}","{'h': '2.56803', 'a': '1.45946'}",2015-08-08 18:00:00,"{'w': 0.6148422302934381, 'd': 0.18036085445108735, 'l': 0.2047968180788374}",w
97,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '1', 'a': '2'}","{'h': '0.513491', 'a': '1.80939'}",2015-08-15 18:00:00,"{'w': 0.0981732279568684, 'd': 0.21249678369182573, 'l': 0.6893299873223643}",w
105,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '1', 'a': '1'}","{'h': '0.829012', 'a': '1.89437'}",2015-08-22 18:00:00,"{'w': 0.1580584847278364, 'd': 0.2170389183555281, 'l': 0.6249025950241008}",d
114,True,a,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '1', 'a': '1'}","{'h': '0.321432', 'a': '0.919097'}",2015-08-29 18:00:00,"{'w': 0.1257304190593918, 'd': 0.3811997745492635, 'l': 0.4930698063912533}",d
129,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '3', 'a': '2'}","{'h': '1.34987', 'a': '0.953181'}",2015-09-13 19:00:00,"{'w': 0.4590581875947055, 'd': 0.27634446687427927, 'l': 0.2645973455113772}",w
135,True,a,"{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '2', 'a': '2'}","{'h': '1.14717', 'a': '1.22582'}",2015-09-19 18:00:00,"{'w': 0.34173136104336416, 'd': 0.2782087247693906, 'l': 0.3800599141800425}",d
144,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '2', 'a': '5'}","{'h': '1.38516', 'a': '3.89623'}",2015-09-26 18:00:00,"{'w': 0.08588872905218363, 'd': 0.10114366596259802, 'l': 0.8129528203358055}",l
155,True,a,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '1', 'a': '2'}","{'h': '1.18074', 'a': '3.00282'}",2015-10-03 18:00:00,"{'w': 0.11827388318747468, 'd': 0.14091300757368244, 'l': 0.7408124311070117}",w
162,True,a,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '2', 'a': '2'}","{'h': '1.46668', 'a': '2.78648'}",2015-10-17 18:00:00,"{'w': 0.18188508227464728, 'd': 0.1668193059899859, 'l': 0.6512953417719088}",d
172,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '0'}","{'h': '1.33502', 'a': '0.240008'}",2015-10-24 18:00:00,"{'w': 0.655914224772904, 'd': 0.27883432789815193, 'l': 0.06525144731220794}",w
187,True,a,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '2', 'a': '3'}","{'h': '1.50447', 'a': '2.22545'}",2015-10-31 19:00:00,"{'w': 0.2575607637802949, 'd': 0.2025987641642618, 'l': 0.5398404563860406}",w
192,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '2', 'a': '1'}","{'h': '1.56389', 'a': '1.00531'}",2015-11-07 19:00:00,"{'w': 0.5030590439651399, 'd': 0.2534891167561342, 'l': 0.24345183913326393}",w
205,True,a,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '0', 'a': '3'}","{'h': '0.372387', 'a': '3.27478'}",2015-11-21 19:00:00,"{'w': 0.01995103425372731, 'd': 0.06895933484021463, 'l': 0.9110876950289803}",w
216,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '1', 'a': '1'}","{'h': '0.876256', 'a': '1.05613'}",2015-11-28 21:30:00,"{'w': 0.29570720297158126, 'd': 0.31319115506323436, 'l': 0.3911016419644922}",d
222,True,a,"{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '0', 'a': '3'}","{'h': '0.780602', 'a': '2.20962'}",2015-12-05 19:00:00,"{'w': 0.11790880026786052, 'd': 0.18238304232175206, 'l': 0.6997081432018027}",w
240,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '2', 'a': '1'}","{'h': '0.708846', 'a': '2.26887'}",2015-12-15 00:00:00,"{'w': 0.10049276169937495, 'd': 0.1722184594030344, 'l': 0.727288758897607}",w
245,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '2', 'a': '3'}","{'h': '1.48982', 'a': '2.02911'}",2015-12-19 19:00:00,"{'w': 0.2835286073175295, 'd': 0.2145036088288022, 'l': 0.5019677790987555}",w
257,True,a,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '1', 'a': '0'}","{'h': '1.37933', 'a': '0.505167'}",2015-12-26 19:00:00,"{'w': 0.5868611814609065, 'd': 0.2776816465401233, 'l': 0.13545717197276333}",l
269,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '0'}","{'h': '0.810377', 'a': '1.66777'}",2015-12-29 23:45:00,"{'w': 0.18042397070417107, 'd': 0.24186849239564157, 'l': 0.5777075365544645}",d
274,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '0', 'a': '0'}","{'h': '2.28506', 'a': '1.2593'}",2016-01-02 19:00:00,"{'w': 0.6042904709291393, 'd': 0.19479923270393, 'l': 0.2009102744405036}",d
290,True,a,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '0', 'a': '1'}","{'h': '1.2301', 'a': '0.588708'}",2016-01-14 00:00:00,"{'w': 0.5195474413391937, 'd': 0.30275190126695445, 'l': 0.17770065738844437}",w
